arm,bayes_nll,conditional_w2_squared,covariance_head_outputs,excess_nll,family,heldout_contrast_loss,maximum_principal_sine,method,projector_error,seed,test_nll,true_crossblock_leakage
signed_permutation,1.3591625585872704,0.0017967425332558284,6,0.0032544273437954503,block,0.008113006435602992,0.0,oracle_block,0.0,0,1.362416985931066,0.0
signed_permutation,1.3591625585872704,0.0017967425332558347,6,0.0032544273437954494,block,0.008113006435602992,0.0,permutation_block,0.0,0,1.362416985931066,0.0
signed_permutation,1.3591625585872709,0.0018170143171163371,6,0.0032085439272892674,block,0.00778834396376171,0.052743992103271714,jbd_block,0.07179318883964536,0,1.3623711025145602,0.0002289711145471223
signed_permutation,1.3591625585872704,0.02366838309241104,4,0.02439232720186827,diagonal,0.008113006435602992,0.0,oracle_diagonal,0.0,0,1.3835548857891387,0.0
signed_permutation,1.3591625585872704,0.002498995893853795,10,0.0046755287225734654,full,0.4229386517989329,1.0,provisional_full,1.0,0,1.363838087309844,0.43465251071187816
haar,1.3591625585872702,0.0017967425332558386,6,0.003254427343795545,block,0.008113006435608082,3.942476676500724e-08,oracle_block,0.0,0,1.3624169859310655,9.563662811977585e-31
haar,1.3591625585872702,0.013289671954538267,6,0.01581894637449417,block,0.21772052631455152,0.6590027105143973,permutation_block,0.6664692507848182,0,1.3749815049617646,0.22768643920655052
haar,1.3591625585872702,0.0018170143171163033,6,0.003208543927289387,block,0.00778834396376734,0.052743992103242245,jbd_block,0.07179318883958989,0,1.3623711025145597,0.00022897111454679402
haar,1.3591625585872702,0.02366838309241102,4,0.02439232720186709,diagonal,0.008113006435608082,3.942476676500724e-08,oracle_diagonal,0.0,0,1.383554885789137,9.563662811977585e-31
haar,1.3591625585872702,0.002498995893853734,10,0.004675528722573628,full,0.5398476393802558,0.973328107981378,provisional_full,0.9851602739255865,0,1.363838087309844,0.5653951802138187
signed_permutation,1.353392678150608,0.0022478273677923994,6,0.0025286115460842165,block,0.007562192736756868,0.0,oracle_block,0.0,1,1.3559212896966921,0.0
signed_permutation,1.353392678150608,0.0022478273677923994,6,0.0025286115460842183,block,0.007562192736756868,0.0,permutation_block,0.0,1,1.3559212896966921,0.0
signed_permutation,1.3533926781506076,0.002281812541530454,6,0.002543355101897089,block,0.00675566634449895,0.03804555369154294,jbd_block,0.04790282880077034,1,1.3559360332525048,0.00076642942224626
signed_permutation,1.353392678150608,0.023774971363439264,4,0.027054029538617096,diagonal,0.007562192736756868,0.0,oracle_diagonal,0.0,1,1.380446707689225,0.0
signed_permutation,1.353392678150608,0.002798306424977605,10,0.0034455069495336766,full,0.43815159839876827,1.0,provisional_full,1.0,1,1.3568381851001419,0.4362059980222425
haar,1.353392678150608,0.0022478273677923725,6,0.0025286115460841467,block,0.007562192736756816,1.4901161193847656e-08,oracle_block,0.0,1,1.3559212896966921,2.8026898085765194e-31
haar,1.353392678150608,0.024027913939812105,6,0.027376033862351636,block,0.4263042823877699,0.8543295334857519,permutation_block,0.9044231012887713,1,1.3807687120129595,0.43571387984837806
haar,1.3533926781506083,0.002281812541530452,6,0.0025433551018970487,block,0.006755666344498947,0.03804555369150792,jbd_block,0.04790282880073961,1,1.3559360332525052,0.0007664294222461506
haar,1.353392678150608,0.02377497136343929,4,0.02705402953861711,diagonal,0.007562192736756816,1.4901161193847656e-08,oracle_diagonal,0.0,1,1.380446707689225,2.8026898085765194e-31
haar,1.353392678150608,0.0027983064249775093,10,0.003445506949533622,full,0.5315041180795248,0.7100606929688089,provisional_full,0.737340871939922,1,1.3568381851001416,0.5487914523517616
signed_permutation,1.3648115030331556,0.001796336946904296,6,0.0033582495563650823,block,0.0029423501378916133,0.0,oracle_block,0.0,2,1.3681697525895207,0.0
